SED freq flux
0 8.48 3833.31679699
0 8.49 3838.01253877
0 8.5 3842.70849494
0 8.51 3847.40466524
0 8.52 3852.10104945
0 8.53 3856.79764732
0 8.54 3861.49445861
0 8.55 3866.19148308
0 8.56 3870.88872048
0 8.57 3875.58617059
0 8.58 3880.28383316
0 8.59 3884.98170795
0 8.6 3889.67979473
0 8.61 3894.37809326
0 8.62 3899.0766033
0 8.63 3903.77532461
0 8.64 3908.47425697
0 8.65 3913.17340014
0 8.66 3917.87275388
0 8.67 3922.57231795
0 8.68 3927.27209214
0 8.69 3931.97207619
0 8.7 3936.67226989
0 8.71 3941.37267299
0 8.72 3946.07328528
0 8.73 3950.77410651
0 8.74 3955.47513646
0 8.75 3960.17637489
0 8.76 3964.87782159
0 8.77 3969.57947631
0 8.78 3974.28133884
0 8.79 3978.98340894
0 8.8 3983.68568639
0 8.81 3988.38817096
0 8.82 3993.09086243
0 8.83 3997.79376056
0 8.84 4002.49686514
0 8.85 4007.20017594
0 8.86 4011.90369274
0 8.87 4016.60741531
0 8.88 4021.31134343
0 8.89 4026.01547688
0 8.9 4030.71981543
0 8.91 4035.42435886
0 8.92 4040.12910696
0 8.93 4044.8340595
0 8.94 4049.53921626
0 8.95 4054.24457703
0 8.96 4058.95014158
0 8.97 4063.65590969
0 8.98 4068.36188115
0 8.99 4073.06805574
0 9.0 4077.77443324
0 9.01 4082.48101343
0 9.02 4087.18779611
0 9.03 4091.89478104
0 9.04 4096.60196803
0 9.05 4101.30935685
0 9.06 4106.01694728
0 9.07 4110.72473912
0 9.08 4115.43273215
0 9.09 4120.14092616
0 9.1 4124.84932094
0 9.11 4129.55791627
0 9.12 4134.26671194
0 9.13 4138.97570774
0 9.14 4143.68490346
0 9.15 4148.39429889
0 9.16 4153.10389382
0 9.17 4157.81368804
0 9.18 4162.52368134
0 9.19 4167.23387352
0 9.2 4171.94426436
0 9.21 4176.65485366
0 9.22 4181.36564121
0 9.23 4186.0766268
0 9.24 4190.78781023
0 9.25 4195.49919129
0 9.26 4200.21076978
0 9.27 4204.92254549
0 9.28 4209.63451821
0 9.29 4214.34668775
0 9.3 4219.0590539
0 9.31 4223.77161645
0 9.32 4228.48437521
0 9.33 4233.19732997
0 9.34 4237.91048052
0 9.35 4242.62382668
0 9.36 4247.33736823
0 9.37 4252.05110497
0 9.38 4256.76503672
0 9.39 4261.47916325
0 9.4 4266.19348438
0 9.41 4270.90799991
0 9.42 4275.62270964
0 9.43 4280.33761337
0 9.44 4285.0527109
0 9.45 4289.76800204
0 9.46 4294.48348658
0 9.47 4299.19916434
0 9.48 4303.91503511
0 9.49 4308.6310987
0 9.5 4313.34735491
0 9.51 4318.06380356
0 9.52 4322.78044444
0 9.53 4327.49727736
0 9.54 4332.21430213
0 9.55 4336.93151856
