y,cb,cr
167,149,112
166,149,112
166,150,112
166,150,112
166,150,112
166,150,112
168,150,112
168,150,112
169,149,113
169,149,113
169,149,113
169,149,112
168,149,112
167,149,112
166,150,112
162,150,112
160,151,111
158,151,111
157,151,111
156,152,111
154,152,110
152,153,110
149,153,109
146,153,109
145,153,109
144,154,109
143,154,109
142,154,109
143,154,109
147,154,110
155,152,110
160,151,111
165,149,111
180,146,114
186,145,116
187,144,116
185,145,116
184,145,115
180,146,114
177,148,113
176,149,112
172,150,112
136,129,127
89,113,139
88,118,134
114,112,135
103,111,138
84,115,136
40,127,133
66,125,136
95,112,141
103,106,144
93,108,140
60,126,133
97,122,129
122,105,136
112,100,144
61,118,137
47,129,133
67,126,132
84,132,119
95,118,129
100,99,143
54,119,136
32,128,131
52,127,129
91,123,129
79,117,136
83,107,142
44,122,136
36,130,131
43,128,133
69,127,126
104,111,137
83,108,142
86,106,142
87,105,142
82,109,139
69,114,138
44,121,136
36,129,131
41,131,124
73,125,129
101,113,138
88,109,142
81,110,142
49,121,137
33,124,135
32,126,134
24,128,131
25,128,132
24,129,131
24,129,130
31,126,134
39,123,138
50,119,143
60,114,147
70,111,149
177,142,118
196,143,117
195,143,117
194,143,117
193,143,117
191,143,117
190,144,117
188,144,116
187,145,116
184,145,116
183,145,115
181,146,114
178,146,114
176,147,114
174,147,113
172,148,113
170,148,113
168,149,112
167,149,112
166,150,112
166,150,112
165,149,112
165,149,112
167,150,112
168,149,112
169,149,113
169,149,113
169,149,113
169,149,112
169,149,113
169,149,113
167,149,112
163,150,112
161,151,111
159,151,111
157,152,111
156,152,110
154,152,110
153,152,110
150,153,110
147,153,110
145,153,109
144,153,109
143,154,109
142,154,109
142,154,109
144,154,109
152,152,110
160,151,111
161,151,111
174,147,113
185,145,116
184,145,116
184,145,115
184,147,114
179,149,111
160,143,116
138,136,120
144,130,124
125,112,137
88,115,137
40,127,130
65,127,133
97,111,141
89,110,141
62,121,136
89,118,136
115,104,139
120,97,144
92,108,140
47,127,134
74,127,130
97,124,125
101,106,139
79,111,140
43,129,133
64,124,136
97,119,132
99,111,139
91,106,143
72,112,140
31,129,131
49,128,132
96,117,131
106,103,145
92,103,146
61,116,139
33,131,130
41,127,134
58,131,125
85,119,132
98,103,144
79,108,142
82,107,141
80,111,140
66,114,137
39,124,133
35,129,131
41,129,130
77,128,125
88,121,129
84,110,141
80,111,142
47,121,136
34,125,134
38,123,137
40,122,138
46,120,139
51,120,140
59,118,142
72,114,145
77,113,146
83,110,147
88,107,150
88,108,150
178,142,118
196,143,117
195,142,117
195,142,117
193,143,118
192,143,117
191,143,117
190,144,117
188,144,116
186,145,116
183,145,116
181,146,115
179,146,114
177,146,114
175,147,113
173,148,113
171,148,113
169,149,113
167,149,112
166,150,112
166,150,112
166,150,112
165,150,112
165,149,112
168,150,112
170,149,113
