,id,struct_filepath,formula,anon_formula,anions,heteroanion,sg_sym,sg_num,n_elems,mm_dist,tm1,tm2,idx1,idx2,oxi1,oxi2,ref_dist,delta,normed_dist,d_state1,d_state2,n1,n2,ionic_r_1,ionic_r_2,mn1,mn2,max_con,ce1,ce2,cn1,cn2,csm1,csm2,gii,gii_1991,pred_d1
11291,648093,Zr5Sb3P_648093.cif,Zr5Sb3P,AB3C5,"Sb,P",True,P6_3/mcm,193.0,3,2.9065,Zr,Zr,2,1,0.0,0.0,3.19147383240157,-0.28497383240157026,0.9107077646984408,2,2,4,4,,,49,49,1.219214791722676,BO_1:8,BO_1:8,8.0,8.0,1.8940452277395663,1.8940452277395663,0.0,0.0,2
11292,648099,Sc7P3_648099.cif,Sc7P3,A3B7,P,False,P6_3mc,186.0,2,3.1743602639101938,Sc,Sc,12,9,0.0,0.0,3.2137493574313014,-0.039389093521107636,0.987743570160496,1,1,3,3,,,19,19,0.9112960900579896,MI:10,MI:10,10.0,10.0,7.896495680273572,7.896495680273572,0.0,0.0,1
11293,648101,Sc3P_648101.cif,Sc3P,AB3,P,False,Pnma,62.0,2,2.979708083795625,Sc,Sc,11,0,0.0,0.0,3.2137493574313014,-0.2340412736356763,0.9271750072560913,1,1,3,3,,,19,19,1.3348556313031192,S:1,S:1,1.0,1.0,0.0,0.0,0.0,0.0,1
11294,648141,ZnSiP2_648141.cif,ZnSiP2,ABC2,P,False,I-42d,122.0,3,3.7554500479303408,Zn,Zn,1,0,2.0,2.0,2.6267307799999995,1.1287192679303413,1.4297049688245331,10,10,3,3,0.88,0.88,76,76,0.19588641397357165,T:4,T:4,4.0,4.0,0.09965124501300546,0.09965124501300546,0.1953507231586686,,8
11295,648142,ZnSiP2_648142.cif,ZnSiP2,ABC2,P,False,I-42d,122.0,3,3.7540480567648573,Zn,Zn,1,0,2.0,2.0,2.6267307799999995,1.1273172767648574,1.4291712288706109,10,10,3,3,0.88,0.88,76,76,0.20522310445127975,T:4,T:4,4.0,4.0,0.1189847696867463,0.1189847696867463,0.13819177516229875,,8
11296,648146,ZnSiP2_648146.cif,ZnSiP2,ABC2,P,False,I-42d,122.0,3,3.7545692828871857,Zn,Zn,1,0,2.0,2.0,2.6267307799999995,1.127838502887187,1.4293696603681583,10,10,3,3,0.88,0.88,76,76,0.1959296965434163,T:4,T:4,4.0,4.0,0.0999479952711137,0.0999479952711137,0.19380514082394695,,8
11297,648148,ZnSiP2_648148.cif,ZnSiP2,ABC2,P,False,I-42d,122.0,3,3.7561570537585354,Zn,Zn,1,0,2.0,2.0,2.6267307799999995,1.1294262737585354,1.429974126910157,10,10,3,3,0.88,0.88,76,76,0.1958837152408286,T:4,T:4,4.0,4.0,0.0996327684770436,0.0996327684770436,0.19671895765521152,,8
11298,648163,ZnSnP14_648163.cif,ZnSnP14,ABC14,P,False,Pnma,62.0,3,6.7388835540052465,Zn,Zn,3,1,2.0,2.0,2.6267307799999995,4.112152774005247,2.565502184432181,10,10,3,3,0.88,0.88,76,76,0.0,T:5,T:5,5.0,5.0,2.9193254210580486,2.9193254210580486,,,8
11299,648165,ZnSnP2_648165.cif,ZnSnP2,ABC2,P,False,I-42d,122.0,3,3.99586042048518,Zn,Zn,1,0,2.0,2.0,2.6267307799999995,1.3691296404851805,1.5212295264173137,10,10,3,3,0.88,0.88,76,76,0.09052826173747164,T:4,T:4,4.0,4.0,0.010825565245652162,0.010825565245652162,0.21741169884054298,,8
11300,648168,ZnSnP2_648168.cif,ZnSnP2,ABC2,P,False,I-42d,122.0,3,3.9960372010906,Zn,Zn,1,0,2.0,2.0,2.6267307799999995,1.3693064210906003,1.5212968270355445,10,10,3,3,0.88,0.88,76,76,0.0904772475258051,T:4,T:4,4.0,4.0,0.010913148815865187,0.010913148815865187,0.2179367386262783,,8
11301,648170,ZnSnP2_648170.cif,ZnSnP2,ABC2,P,False,I-42d,122.0,3,3.99586042048518,Zn,Zn,1,0,0.0,0.0,2.6267307799999995,1.3691296404851805,1.5212295264173137,10,10,3,3,,,76,76,0.09052826173747164,T:4,T:4,4.0,4.0,0.010825565245652162,0.010825565245652162,0.0,0.0,10
11302,648177,Sr(ZnP)2_648177.cif,Sr(ZnP)2,AB2C2,P,False,P-3m1,164.0,3,2.984616184716107,Zn,Zn,2,1,2.0,2.0,2.6267307799999995,0.3578854047161073,1.1362474629836663,10,10,3,3,0.88,0.88,76,76,0.8936077643040097,T:4,T:4,4.0,4.0,0.05635925651818835,0.05635925651818835,0.3199825177041801,,8
