starID,time,mass,x,y,z
3,516.798,0.70,-1.004,-1.925,-0.206
4,516.798,1.10,-0.182,-2.855,-0.541
0,517.385,1.00,-0.880,-1.614,-0.097
1,517.385,0.75,-0.977,-1.551,-0.152
2,517.385,1.20,2.033,6.110,0.778
3,517.385,0.70,-0.984,-1.994,-0.129
4,517.385,1.10,-0.126,-2.871,-0.575
0,517.972,1.00,-0.933,-1.582,-0.080
1,517.972,0.75,-1.022,-1.652,-0.212
2,517.972,1.20,2.040,6.177,0.785
3,517.972,0.70,-0.955,-2.025,-0.052
4,517.972,1.10,-0.072,-2.884,-0.607
0,518.559,1.00,-0.945,-1.639,-0.067
1,518.559,0.75,-1.119,-1.673,-0.259
2,518.559,1.20,2.047,6.243,0.793
3,518.559,0.70,-0.926,-2.020,0.016
4,518.559,1.10,-0.022,-2.894,-0.638
0,519.147,1.00,-0.986,-1.722,-0.086
1,519.147,0.75,-1.168,-1.695,-0.252
2,519.147,1.20,2.053,6.310,0.800
3,519.147,0.70,-0.903,-1.981,0.069
4,519.147,1.10,0.027,-2.901,-0.667
0,519.734,1.00,-1.057,-1.819,-0.125
1,519.734,0.75,-1.158,-1.735,-0.192
2,519.734,1.20,2.060,6.376,0.807
3,519.734,0.70,-0.896,-1.905,0.093
4,519.734,1.10,0.073,-2.906,-0.695
0,520.321,1.00,-1.098,-1.829,-0.100
1,520.321,0.75,-1.149,-1.916,-0.174
2,520.321,1.20,2.066,6.442,0.815
3,520.321,0.70,-0.927,-1.808,0.068
4,520.321,1.10,0.117,-2.908,-0.722
0,520.909,1.00,-1.035,-1.914,-0.009
1,520.909,0.75,-1.214,-1.966,-0.184
2,520.909,1.20,2.073,6.508,0.822
3,520.909,0.70,-1.024,-1.745,-0.023
4,520.909,1.10,0.159,-2.909,-0.747
0,521.496,1.00,-0.994,-1.944,0.046
1,521.496,0.75,-1.216,-1.977,-0.135
2,521.496,1.20,2.079,6.574,0.829
3,521.496,0.70,-1.153,-1.806,-0.130
4,521.496,1.10,0.198,-2.907,-0.772
0,522.083,1.00,-1.003,-1.954,0.052
1,522.083,0.75,-1.174,-1.902,-0.092
2,522.083,1.20,2.086,6.639,0.836
3,522.083,0.70,-1.254,-1.991,-0.161
4,522.083,1.10,0.235,-2.903,-0.794
0,522.670,1.00,-1.074,-1.952,0.003
1,522.670,0.75,-1.140,-1.862,-0.087
2,522.670,1.20,2.092,6.705,0.843
3,522.670,0.70,-1.254,-2.156,-0.074
4,522.670,1.10,0.270,-2.898,-0.816
0,523.258,1.00,-1.092,-1.900,-0.043
1,523.258,0.75,-1.216,-1.953,-0.100
2,523.258,1.20,2.099,6.770,0.851
3,523.258,0.70,-1.211,-2.255,0.025
4,523.258,1.10,0.303,-2.892,-0.837
0,523.845,1.00,-1.109,-1.957,-0.036
1,523.845,0.75,-1.300,-1.949,-0.171
2,523.845,1.20,2.105,6.835,0.858
3,523.845,0.70,-1.155,-2.302,0.110
4,523.845,1.10,0.333,-2.884,-0.856
0,524.432,1.00,-1.175,-2.032,-0.056
1,524.432,0.75,-1.316,-1.957,-0.190
2,524.432,1.20,2.111,6.900,0.865
3,524.432,0.70,-1.098,-2.313,0.175
4,524.432,1.10,0.362,-2.875,-0.874
0,525.019,1.00,-1.285,-2.079,-0.119
1,525.019,0.75,-1.263,-2.027,-0.131
2,525.019,1.20,2.117,6.965,0.872
3,525.019,0.70,-1.051,-2.296,0.217
4,525.019,1.10,0.388,-2.865,-0.891
0,525.607,1.00,-1.241,-2.100,-0.091
1,525.607,0.75,-1.398,-2.150,-0.172
2,525.607,1.20,2.123,7.030,0.879
3,525.607,0.70,-1.017,-2.264,0.234
4,525.607,1.10,0.413,-2.853,-0.907
0,526.194,1.00,-1.257,-2.206,-0.058
1,526.194,0.75,-1.435,-2.170,-0.199
2,526.194,1.20,2.130,7.094,0.886
3,526.194,0.70,-1.001,-2.221,0.226
4,526.194,1.10,0.435,-2.841,-0.922
0,526.781,1.00,-1.304,-2.303,-0.047
1,526.781,0.75,-1.406,-2.202,-0.174
2,526.781,1.20,2.136,7.159,0.893
3,526.781,0.70,-1.008,-2.178,0.193
4,526.781,1.10,0.455,-2.829,-0.936
0,527.368,1.00,-1.353,-2.313,-0.085
1,527.368,0.75,-1.347,-2.345,-0.063
2,527.368,1.20,2.142,7.223,0.900
3,527.368,0.70,-1.040,-2.142,0.136
4,527.368,1.10,0.474,-2.815,-0.948
0,527.956,1.00,-1.266,-2.382,0.005
1,527.956,0.75,-1.439,-2.391,-0.105
2,527.956,1.20,2.148,7.287,0.907
3,527.956,0.70,-1.102,-2.127,0.058
