y,cb,cr
28,124,127
28,124,126
27,124,126
28,124,127
28,124,127
28,125,126
28,124,127
33,121,128
36,121,126
32,122,126
37,119,130
55,110,133
51,114,130
48,115,129
58,111,134
49,111,129
54,111,132
216,139,114
213,141,115
209,142,114
206,142,114
207,142,115
207,141,115
209,141,115
212,140,115
219,137,115
226,133,115
228,132,117
225,134,116
226,133,117
228,132,117
227,132,116
217,138,115
211,140,115
208,141,116
207,141,116
209,140,115
209,141,115
206,140,115
206,141,116
206,141,115
206,140,116
207,139,116
208,139,116
208,139,116
206,139,116
205,140,116
204,139,116
204,139,116
208,138,116
212,136,117
214,135,117
217,135,117
219,134,117
219,133,117
219,133,117
219,133,117
219,133,117
219,133,118
220,132,118
221,130,118
220,130,119
220,129,119
219,130,119
218,129,120
218,129,119
213,132,119
207,135,119
207,134,119
207,133,119
211,131,119
214,129,120
212,130,121
212,129,121
214,127,121
213,127,121
209,130,121
203,133,120
202,133,120
202,133,120
201,132,120
201,132,120
201,131,120
202,131,122
203,129,123
202,129,123
201,130,123
201,129,123
200,129,124
200,129,123
185,128,125
163,125,130
160,124,131
159,124,132
158,124,132
157,124,132
156,124,132
156,124,132
154,125,132
153,125,133
152,124,132
151,125,132
150,125,132
150,124,132
149,124,132
148,125,132
142,123,133
134,121,135
130,118,138
127,117,138
116,119,136
98,123,132
96,124,131
95,124,132
97,122,131
93,121,131
90,121,131
92,120,130
88,120,131
87,120,132
84,122,132
86,119,131
81,118,130
76,118,130
73,118,131
67,121,130
71,114,130
66,114,130
63,114,132
62,109,133
54,113,130
51,116,129
39,120,127
33,124,125
29,125,126
28,124,127
30,124,126
28,125,126
26,125,128
28,124,127
28,124,127
30,124,127
31,123,128
37,122,126
36,121,126
37,121,128
48,115,130
48,113,130
48,115,130
46,117,129
48,113,131
56,111,133
215,140,114
213,141,114
208,142,114
206,142,115
206,142,114
206,142,115
208,141,115
211,141,115
219,137,115
226,133,115
228,132,116
226,133,116
226,133,116
228,132,117
227,132,116
218,137,116
212,140,115
208,141,115
207,141,115
208,140,116
209,141,115
206,140,115
206,141,116
206,141,115
207,140,116
209,139,116
208,139,116
208,139,116
206,139,116
204,139,116
204,139,116
204,139,116
208,138,116
213,136,117
214,135,117
218,134,117
220,134,117
220,133,117
220,133,117
220,133,117
219,133,117
219,133,118
219,132,118
220,130,119
220,129,119
220,129,119
219,129,119
218,130,119
218,129,119
212,133,118
206,135,118
207,133,118
207,133,119
210,131,119
213,129,120
214,129,120
214,128,121
214,127,121
212,128,121
209,130,121
203,133,120
202,133,120
201,134,120
201,133,120
201,132,120
200,132,121
202,131,121
203,129,122
202,128,123
201,129,123
201,129,123
200,129,124
200,128,124
191,129,124
165,126,129
159,124,131
159,124,131
158,124,132
157,124,132
156,124,132
156,124,132
155,125,132
154,125,132
152,125,132
151,125,132
150,125,132
150,124,132
149,124,132
148,125,132
146,123,133
136,122,133
128,121,134
122,122,133
115,125,133
99,124,131
95,124,131
97,123,132
97,121,133
92,120,131
91,121,130
93,120,130
88,121,130
85,122,131
84,122,132
87,117,133
80,116,130
74,118,130
70,120,130
73,116,130
68,114,129
62,118,129
67,111,132
58,109,132
47,116,128
47,117,128
40,121,127
33,124,124
34,123,125
28,124,127
30,124,126
28,125,125
27,125,127
30,125,127
31,123,127
31,122,127
31,123,126
36,122,126
32,123,124
37,120,129
55,110,131
51,111,130
49,114,131
55,110,132
51,112,129
52,111,131
215,140,114
212,140,114
208,142,114
206,143,115
206,142,115
206,141,115
208,141,115
211,140,115
219,137,115
225,134,115
228,132,116
224,134,116
225,134,116
228,132,116
227,133,116
218,137,116
212,140,115
209,141,115
207,141,115
208,140,116
209,140,115
206,141,115
206,140,115
206,141,115
207,140,116
209,139,116
208,139,116
207,139,116
206,139,116
204,140,116
204,139,116
204,139,116
208,138,117
215,135,117
215,135,117
218,134,117
220,134,117
220,133,117
220,134,117
220,133,117
219,133,118
219,133,118
219,132,118
220,131,119
221,130,119
220,129,119
219,129,119
218,130,119
217,130,119
211,132,119
206,135,118
207,134,118
207,134,119
210,131,120
213,129,120
215,128,121
214,128,121
214,127,121
212,128,121
210,129,121
203,132,120
202,133,120
202,133,120
201,133,120
201,132,120
201,132,121
203,130,122
203,129,122
202,128,123
202,129,123
201,129,123
200,128,124
200,129,124
187,129,125
163,125,130
160,124,131
159,124,131
158,124,131
157,124,132
156,123,132
156,124,132
155,125,132
154,124,132
153,124,132
151,126,132
151,125,132
150,124,132
148,124,132
148,125,132
146,124,132
138,122,133
130,123,132
123,122,132
110,121,132
103,122,131
102,123,131
100,122,133
95,121,133
89,122,130
89,123,129
94,120,130
87,122,130
84,122,131
85,120,133
86,117,134
77,118,131
72,121,129
68,121,130
75,115,129
62,117,128
56,120,129
64,115,132
62,107,132
44,116,128
40,119,128
38,121,127
32,122,125
31,123,125
33,124,126
30,124,126
28,125,126
26,126,125
31,124,126
32,122,126
30,123,128
29,123,128
34,122,127
31,124,125
39,119,128
48,112,129
52,113,132
58,108,134
59,107,135
57,108,131
55,108,131
215,140,114
212,141,114
207,143,114
206,142,115
205,142,115
206,142,115
207,141,115
211,140,115
219,137,115
225,134,115
228,132,116
224,135,116
223,135,116
228,132,116
225,134,116
217,138,116
212,140,115
209,141,115
207,141,115
208,141,115
209,140,115
206,140,115
206,141,115
206,140,116
208,140,116
208,139,116
207,139,116
207,139,116
206,139,116
204,139,116
204,139,116
